Longitude,Latitude
-85.0115,31.0534
-85.0087,31.0439
-85.0095,31.0322
-85.0046,31.0190
-84.9995,31.0137
-85.0024,31.0005
-85.2437,31.0007
-85.4884,30.9969
-85.4983,30.9967
-86.0351,30.9931
-86.1873,30.9938
-86.3887,30.9940
-86.6884,30.9943
-86.7244,30.9967
-86.7860,30.9968
-87.1627,30.9989
-87.2377,30.9962
-87.2550,30.9981
-87.5989,30.9973
-87.5894,30.9653
-87.5914,30.9534
-87.6078,30.9243
-87.6160,30.9013
-87.6222,30.8973
-87.6208,30.8873
-87.6295,30.8799
-87.6349,30.8657
-87.6260,30.8565
-87.6273,30.8478
-87.6173,30.8402
-87.6157,30.8343
-87.6047,30.8313
-87.6005,30.8204
-87.5819,30.8122
-87.5721,30.8003
-87.5683,30.7999
-87.5595,30.7903
-87.5521,30.7861
-87.5507,30.7813
-87.5451,30.7785
-87.5462,30.7718
-87.5371,30.7623
-87.5354,30.7496
-87.5300,30.7407
-87.5109,30.7328
-87.5015,30.7210
-87.4923,30.7201
-87.4837,30.7154
-87.4817,30.7174
-87.4780,30.7133
-87.4794,30.7098
-87.4752,30.7089
-87.4753,30.7051
-87.4700,30.7047
-87.4680,30.7001
-87.4636,30.7005
-87.4577,30.6966
-87.4514,30.6996
-87.4404,30.6907
-87.4304,30.6885
-87.4265,30.6831
-87.4190,30.6786
-87.4070,30.6750
-87.4033,30.6575
-87.3980,30.6552
-87.3949,30.6455
-87.3950,30.6151
-87.3989,30.6058
-87.4077,30.6010
-87.4055,30.5987
-87.4088,30.5835
-87.4128,30.5764
-87.4120,30.5744
-87.4102,30.5751
-87.4109,30.5732
-87.4163,30.5723
-87.4187,30.5616
-87.4261,30.5599
-87.4279,30.5540
-87.4355,30.5489
-87.4366,30.5409
-87.4404,30.5401
-87.4418,30.5368
-87.4396,30.5302
-87.4442,30.5315
-87.4429,30.5299
-87.4466,30.5269
-87.4441,30.5241
-87.4475,30.5220
-87.4458,30.5171
-87.4473,30.5146
-87.4452,30.5138
-87.4499,30.5145
-87.4447,30.5073
-87.4397,30.5065
-87.4310,30.4981
-87.4317,30.4927
-87.4284,30.4883
-87.4339,30.4875
-87.4329,30.4841
-87.4356,30.4803
-87.4306,30.4764
-87.4296,30.4704
-87.4243,30.4647
-87.4147,30.4571
-87.4079,30.4562
-87.3999,30.4508
-87.3800,30.4497
-87.3687,30.4444
-87.3675,30.4343
-87.3844,30.4214
-87.3957,30.4174
-87.4048,30.4094
-87.4227,30.4099
-87.4296,30.4063
-87.4343,30.3973
-87.4407,30.3913
-87.4387,30.3806
-87.4514,30.3670
-87.4511,30.3454
-87.4611,30.3351
-87.4719,30.3316
-87.4936,30.3304
-87.5026,30.3272
-87.5060,30.3192
-87.5058,30.3123
-87.5039,30.3078
-87.5000,30.3060
-87.4837,30.3046
-87.4759,30.3077
-87.4630,30.3076
-87.4501,30.3109
-87.4524,30.3000
-87.5184,30.2837
-87.5184,30.2802
-87.5601,30.2737
-87.6588,30.2493
-87.7363,30.2407
-87.8006,30.2292
-87.8385,30.2270
-87.9123,30.2299
-87.9623,30.2293
-88.0274,30.2207
-88.0293,30.2225
-88.0242,30.2299
-87.9679,30.2350
-87.9610,30.2422
-87.9598,30.2468
-87.9506,30.2546
-87.9360,30.2613
-87.9183,30.2531
-87.9093,30.2451
-87.8958,30.2397
-87.8630,30.2395
-87.8175,30.2541
-87.7945,30.2530
-87.7767,30.2573
-87.7705,30.2605
-87.7580,30.2740
-87.7552,30.2812
-87.7589,30.2939
-87.7715,30.3105
-87.8002,30.3260
-87.8303,30.3542
-87.8369,30.3670
-87.8482,30.3771
-87.8659,30.3838
-87.9054,30.4084
-87.9089,30.4140
-87.9204,30.4714
-87.9242,30.4759
-87.9375,30.4823
-87.9282,30.4943
-87.9053,30.5374
-87.9017,30.5507
-87.9045,30.5667
-87.9132,30.5816
-87.9145,30.5920
-87.9123,30.6077
-87.9201,30.6360
-87.9303,30.6511
-87.9493,30.6653
-87.9847,30.6854
-88.0049,30.6895
-88.0132,30.6912
-88.0176,30.6784
-88.0219,30.6745
-88.0263,30.6609
-88.0356,30.6531
-88.0531,30.6492
-88.0585,30.6453
-88.0575,30.6087
-88.0609,30.5970
-88.0668,30.5873
-88.0829,30.5717
-88.0863,30.5634
-88.0814,30.5400
-88.0834,30.5293
-88.1004,30.5107
-88.1029,30.5029
-88.1029,30.4937
-88.0970,30.4708
-88.1068,30.4483
-88.1038,30.4210
-88.1073,30.3762
-88.1121,30.3625
-88.1341,30.3260
-88.1360,30.3104
-88.1389,30.3094
-88.1443,30.3201
-88.1492,30.3245
-88.1560,30.3260
-88.1736,30.3240
-88.1916,30.3162
-88.1950,30.3216
-88.1979,30.3445
-88.2033,30.3538
-88.2164,30.3660
-88.2520,30.3796
-88.2969,30.3855
-88.3018,30.3816
-88.3027,30.3694
-88.3130,30.3684
-88.3164,30.3699
-88.3130,30.3742
-88.3120,30.3835
-88.3203,30.3957
-88.3476,30.4030
-88.3573,30.4030
-88.3639,30.3981
-88.3923,30.3857
-88.3953,30.3826
-88.4126,30.7354
-88.4254,30.9981
-88.4320,31.1141
-88.4494,31.4357
-88.4644,31.6977
-88.4732,31.8937
-88.4313,32.2275
-88.4214,32.3085
-88.3888,32.5780
-88.3479,32.9290
-88.3404,32.9911
-88.3044,33.2882
-88.2746,33.5339
-88.2489,33.7449
-88.2072,34.0582
-88.2038,34.0865
-88.1736,34.3210
-88.1562,34.4631
-88.1399,34.5816
-88.1184,34.7237
-88.0978,34.8921
-88.1367,34.9075
-88.1535,34.9212
-88.1761,34.9624
-88.1871,34.9742
-88.2000,34.9955
NaN,NaN
-88.3065,30.2279
-88.3133,30.2298
-88.3118,30.2327
-88.3078,30.2335
-88.2940,30.2332
-88.2243,30.2468
-88.1467,30.2559
-88.1306,30.2630
-88.1258,30.2856
-88.0833,30.2579
